name,state,south,british,german,mobility
Johnson City,Tennessee,True,43.81228,13.4122715,6.219881
Morristown,Tennessee,True,40.146282,9.912126,5.365194
Middlesborough,Tennessee,True,41.81369,8.364313,7.2635136
Knoxville,Tennessee,True,39.543404,12.629138,5.6281214
Winston-Salem,North Carolina,True,37.257114,15.411433,4.480079
Martinsville,Virginia,True,38.96289,10.418649,5.183585
Greensboro,North Carolina,True,35.14177,12.273052,4.739694
North Wilkesboro,North Carolina,True,47.877243,13.706939,5.1663127
Galax,Virginia,True,46.487526,14.429791,7.9569893
Spartanburg,South Carolina,True,33.86375,8.150389,4.311119
Gastonia,North Carolina,True,30.492624,15.60656,5.1527305
Charlotte,North Carolina,True,31.072124,15.204427,4.378524
Boone,North Carolina,True,47.119873,13.723063,5.608365
Morganton,North Carolina,True,38.66947,16.0744,5.4446464
Hickory,North Carolina,True,32.495342,23.67187,4.496967
Franklin,North Carolina,True,42.332012,9.40595,5.6661563
Sylva,North Carolina,True,43.45588,10.338236,6.066536
Asheville,North Carolina,True,41.51368,11.760987,6.338028
Andrews,North Carolina,True,42.237206,9.327305,8.048103
Bennettsville,South Carolina,True,29.810217,3.3010297,2.979684
Florence,South Carolina,True,29.990234,5.987766,3.56782
Fayetteville,North Carolina,True,29.401615,7.727994,3.824701
Wilmington,North Carolina,True,35.293713,7.706617,4.18034
Wilson,North Carolina,True,33.980026,3.7427096,3.195838
Raleigh,North Carolina,True,37.727337,9.098712,4.9986634
Henderson,North Carolina,True,34.274082,3.4056988,3.3608816
Goldsboro,North Carolina,True,33.451107,6.080064,4.5354953
Jacksonville,North Carolina,True,33.07037,9.331167,4.700724
Virginia Beach,Virginia,True,30.594173,12.585446,5.3550944
Washington,North Carolina,True,37.58375,5.3406367,4.978848
South Boston,Virginia,True,32.939278,4.9860024,4.9048753
Lynchburg,Virginia,True,40.851986,10.248944,6.735914
Richmond,Virginia,True,34.83025,11.622904,5.476467
Newport News,Virginia,True,32.315304,12.012609,5.136576
Roanoke Rapids,North Carolina,True,32.749565,3.686938,3.27529
Gulfport,Mississippi,True,29.708525,11.362141,6.710703
Laurel,Mississippi,True,32.28007,4.5675297,6.920706
Hattiesburg,Mississippi,True,31.515875,6.4721184,6.051089
Kosciusko,Mississippi,True,25.713074,3.191189,3.5489666
Yazoo City,Mississippi,True,24.645706,5.739402,2.4789524
